	KC	g_a	k_aA	k_Aa	g_m	k_mM	k_Mm	k_am	k_ma	k_cisplatin_A	k_cisplatin_M	tot	adrn	mes	plastic
0	1000	0.17146923217922383	0.2538750392365373	0.04737589070811776	0.14183847157521615	0.9606915710871795	0.2879694516231237	0.6073654499839691	0.3464295318484333	0	0	0.9999999982531019	0.4555284678498648	0.5444715304032371	0.19723939536631302
1	1000	0.4650727668909118	0.5757288344800378	0.32319138836272154	0.40623477525218127	0.7615346755773794	0.30195980274204715	0.2817401570446201	0.13723058048250592	0	0	1.0	0.2777996608535327	0.7222003391464673	0.3049368502433118
2	1000	0.08607086853070056	0.5784024859592599	0.7573006215940457	0.03760007055418029	0.12646972226954756	0.5628744283508583	0.9261320958620145	0.8530143490238045	0	0	0.998683860958063	0.5694020732911151	0.4292817876669479	0.6733299420571246
3	1000	0.06707113653151142	0.6215754759382707	0.1575345263556276	0.0464475541605184	0.6172510191294688	0.2543386771698052	0.7649345567491864	0.9542469984702469	0	0	0.9969502256812511	0.6411588558880432	0.3557913697932078	0.233464453747033
4	1000	0.06746565224233647	0.9924521178417702	0.5826251941324031	0.005361474934666948	0.1293127207750825	0.24030129161593505	0.8531717874574913	0.8029286919591211	0	0	0.9721566618763612	0.6071533349529679	0.36500332692339343	0.4623198182503319
5	1000	0.9781504203908953	0.3866085109686359	0.6478045221932469	0.8082099648530661	0.027617457823411184	0.6255310206360439	0.7810697349371759	0.6111356911268436	0	0	1.0	0.5449756082492242	0.4550243917507757	0.777266021700731
6	1000	0.5995265065424111	0.28330978054912104	0.7323737142767057	0.5683727690840519	0.6226132409497735	0.9698567539224733	0.32208278108076727	0.7331778151477182	0	0	0.9999999999999999	0.6578891927024295	0.3421108072975704	0.6826875113487584
7	1000	0.20625530630209254	0.7228020880730752	0.36134087864927444	0.14011378421138887	0.7206223567609941	0.9218844232083191	0.5759528627669577	0.6775763520875627	0	0	0.9999999999757339	0.6645958595662648	0.33540414040946914	0.40974819259738904
8	1000	0.9436977558679671	0.22118583962052352	0.974018267287585	0.14207210811888457	0.5965581330431743	0.8842412030426898	0.6584467159727978	0.435391674132258	0	0	1.0	0.32639507201572554	0.6736049279842745	0.6682075690878807
9	1000	0.16418785270633696	0.6669126149251464	0.6997256535140679	0.08062680383418716	0.04976018637284252	0.6611081548263876	0.5949566638450826	0.9928982304492134	0	0	0.9999999890638677	0.7519895366116089	0.24801045245225878	0.6157330871005122
