	KC	g_a	k_aA	k_Aa	g_m	k_mM	k_Mm	k_am	k_ma	k_cisplatin_A	k_cisplatin_M	tot	adrn	mes	plastic
0	1000	0.8322474060177395	0.19474918061222646	0.5991479512735678	0.47602381634599095	0.12661567221473913	0.6052157524166569	0.5467823680987605	0.2730314371012257	0	0	0.9999999999999999	0.3535266283763933	0.6464733716236065	0.8013894675598993
1	1000	0.1990762602069508	0.1816685669116741	0.5632826142196754	0.4070571363118754	0.6288392221214865	0.5824281707546659	0.3726764628963396	0.47035612901679036	0	0	1.0000000000000002	0.4453230493929825	0.5546769506070175	0.6033133404380624
2	1000	0.03732425769672276	0.38218265851744804	0.726712452504274	0.4880617238773895	0.19488724700790794	0.8148349516178988	0.12580156331956016	0.7580622849278846	0	0	0.9999969703761369	0.8811945164348909	0.11880245394124613	0.6733241569270259
3	1000	0.6715640442996962	0.69240152065968	0.031270547549671845	0.23721803058613888	0.17350710337783093	0.45509894808562124	0.372084905665381	0.3462218684909206	0	0	1.0000000000000002	0.9397413139003791	0.06025868609962102	0.08426422216172963
4	1000	0.7282069447594591	0.7535950028306284	0.6597722401746849	0.20114676610358206	0.09230537529183369	0.6637406683086623	0.4899779961704924	0.09832987610200528	0	0	1.0	0.27405476498397274	0.7259452350160273	0.7653833500426434
5	1000	0.6354768328759004	0.7617936703388263	0.39397044893860045	0.3102980801206257	0.045327074838586445	0.9748157764554982	0.07056384411822691	0.47673280409179686	0	0	0.9999999999999999	0.9498500591406649	0.05014994085933495	0.3717255108102764
6	1000	0.23265376789524306	0.6667228174431192	0.27925581002015276	0.44937523772263555	0.6913530034815207	0.5640877884479635	0.4539778169709021	0.19160350255760916	0	0	0.9999999999999999	0.39114441739517025	0.6088555826048296	0.3890211959819223
7	1000	0.4655607768429262	0.8110797514773587	0.6567718142102112	0.079928034914164	0.1739013946608523	0.5865520809480391	0.6925820840740476	0.31012710759627116	0	0	0.9999999999999998	0.4356172439118194	0.5643827560881803	0.630195087777956
8	1000	0.2958848665992382	0.44361886221502633	0.3244854563696097	0.19686640773058983	0.769627997935058	0.9586502678833014	0.5851316679180013	0.9027391342738597	0	0	0.9999999999999998	0.6695322337936941	0.33046776620630575	0.4661305683432372
9	1000	0.8677476252146029	0.34538851068339904	0.597711482412252	0.4502310368260698	0.9219918341201024	0.03028797624530677	0.367099798077379	0.5780396871282838	0	0	1.0	0.07321054703923656	0.9267894529607634	0.07590764181502453
10	1000	0.31402864358907956	0.8232061658636448	0.9962174237309307	0.4345060373760907	0.9560137763595852	0.646840298467897	0.9760754592536817	0.16517867934834063	0	0	1.0	0.11087259059072642	0.8891274094092735	0.41951989499592574
11	1000	0.2425236001677581	0.8774605435999958	0.8016722218302905	0.053996942414448246	0.8618212846885228	0.5101449317656183	0.8389926606490964	0.6371590060517532	0	0	0.9999999531595501	0.3716558312530416	0.6283441219065085	0.411081779065908
12	1000	0.14711480770246954	0.21590407784282473	0.8922271425570801	0.213319461814645	0.39970527564855807	0.7453062807983628	0.4606483736028196	0.004634359062127391	0	0	0.9999999999998609	0.008066925233778739	0.991933074766082	0.652162019938875
13	1000	0.5752602324403051	0.6398978231651312	0.5998410777540049	0.40411194239959214	0.23427617054390137	0.9223258759545948	0.9967892126632649	0.5759314044483347	0	0	1.0000000000000002	0.4878265479286123	0.5121734520713878	0.6444976785848121
14	1000	0.3613562002449515	0.315965173864594	0.6846022652611697	0.3522468411159961	0.34195328407849424	0.051178221891974074	0.34977892996769644	0.5697294650929792	0	0	1.0	0.23656746384821042	0.7634325361517896	0.26124893017447665
15	1000	0.9138458270499937	0.28872670613723206	0.4309923332413683	0.4763001544817184	0.4613001269233058	0.6405298774078344	0.7691779579214741	0.4683537093477175	0	0	1.0	0.37165486827184674	0.6283451317281532	0.587773092092359
16	1000	0.8692674633144681	0.49998979507168384	0.3464074090487034	0.15318006999665817	0.9931663615156462	0.7168271612101006	0.08887415315962022	0.07031094074917055	0	0	1.0	0.4476661457136733	0.5523338542863269	0.41505541915185945
17	1000	0.044590667629703096	0.1619484192570595	0.18383362254940838	0.42294453704773527	0.2645033217961339	0.6667273495986598	0.9186796271486728	0.18555134303754828	0	0	0.9999999999999998	0.2139005063148303	0.7860994936851696	0.6765208304373763
18	1000	0.6428162490751747	0.9025076090745735	0.34536716859076944	0.08119663383257558	0.5363443137225059	0.7299885594799682	0.772624876314664	0.302657452171887	0	0	1.0	0.4492772842920034	0.5507227157079966	0.4417885133464483
19	1000	0.7989789348956057	0.21355627276397726	0.7943774687271128	0.3668319617517577	0.9957929518042652	0.5879530125520257	0.05192726097174594	0.6826901442476404	0	0	1.0	0.860947229800998	0.13905277019900206	0.7302124052239541
20	1000	0.8419846514511858	0.5137064681745688	0.714011758828931	0.17952978798744845	0.759736629494547	0.9875200523428251	0.40592519897935775	0.11029190967076918	0	0	0.9999999999999999	0.20890951130581942	0.7910904886941805	0.5684501929808223
21	1000	0.9688267449867648	0.0011735746240684186	0.41660514982728547	0.15508640815224395	0.005936421181716334	0.9213103250681052	0.2794040411598353	0.46493908643201587	0	0	0.9999999999999999	0.6237837884096048	0.37621621159039514	0.995838922601701
