	KC	g_a	k_aA	k_Aa	g_m	k_mM	k_Mm	k_am	k_ma	k_cisplatin_A	k_cisplatin_M	tot	adrn	mes	plastic
0	5000	0.9273967581278932	0.3177703401354405	0.421623912077307	0.25843058954402354	0.1689971782920996	0.6190364696691425	0.6959267086005965	0.46459439568256766	0	0	1.0000000000000002	0.4792016986223476	0.5207983013776524	0.6824135837405818
1	5000	0.16846187421940417	0.14499190990227495	0.40810803889689573	0.3490520487463763	0.3476436936994536	0.9645570246027212	0.5325274640397949	0.6682986773874947	0	0	0.9999999999999972	0.5555675684440609	0.4444324315559365	0.7366364749465855
2	5000	0.642139052517694	0.3579514551595322	0.5648299732557669	0.4228846802701011	0.6240550555354383	0.7022037525439335	0.7223824404051451	0.4411985373592471	0	0	1.0	0.3456264709690177	0.6543735290309823	0.5580644648770722
3	5000	0.3521792506607254	0.5540143486717339	0.5125551258925837	0.20583532068267507	0.16068779278832102	0.9373947977081992	0.3319394703641111	0.30926582281357917	0	0	1.0	0.6233383558141755	0.37666164418582443	0.6210663621594483
4	5000	0.15308613777667268	0.7835320970400911	0.09547797481173037	0.2856923174895858	0.37169864832615274	0.5424642594014653	0.6336961048575322	0.08942259699464239	0	0	0.9999999999999653	0.43529487609503387	0.5647051239049314	0.38237902541585295
5	5000	0.2660854040373709	0.43870496058381137	0.005501401467946643	0.4196450263602085	0.15479294007147937	0.27388106737944073	0.10832642304364215	0.28674377483471825	0	0	0.9999999999999998	0.992730776794542	0.007269223205457831	0.01694027266121823
6	5000	0.5704238124395451	0.7941901112941493	0.8259985245711425	0.24657713597108494	0.08652621730705223	0.7980295768099702	0.6827536369093357	0.47633656112919776	0	0	1.0	0.5525317843595666	0.4474682156404333	0.6854524331363189
7	5000	0.6545552190938847	0.13030695200752618	0.977781244747119	0.3988075014567011	0.06989066822026335	0.5371015287127074	0.4397052994983489	0.49779456585382775	0	0	0.9999999999999998	0.5316861903766247	0.46831380962337527	0.883561108466239
8	5000	0.667684915142076	0.23161539640052164	0.6045756583090623	0.3009161118343376	0.7105071923503596	0.3667056677729077	0.31597870867606404	0.44291533012651807	0	0	1.0	0.39760459869551656	0.6023954013044835	0.4925091819083964
9	5000	0.07252995570506393	0.08496821586582548	0.1758707929781146	0.31582958944706063	0.9766577306435184	0.5997275275185159	0.17155319955270798	0.3653052206176767	0	0	0.9999999999815045	0.5457552939625074	0.454244706018997	0.5408329313868231
10	5000	0.46375230176530613	0.06268098689721158	0.08225440424571728	0.39998966315030055	0.42432975790504557	0.37653681472037226	0.17668731165136764	0.5931085014871339	0	0	1.0	0.7355483313009135	0.26445166869908654	0.5417469730977418
11	5000	0.725611457493508	0.32088974368516765	0.9485274074674898	0.12553343170554054	0.985391804036212	0.39411024888305446	0.8025365150553972	0.6232544910493303	0	0	0.9999999999999998	0.22891153625557809	0.7710884637444219	0.39138105296452935
12	5000	0.47511161862691853	0.4555333316218251	0.9201409798997128	0.2823475717883074	0.7247782383129376	0.2389415745882204	0.7362075040706244	0.6419969723273742	0	0	1.0	0.2442763758068034	0.7557236241931967	0.35076284314760453
13	5000	0.6536259491672817	0.7898243081555321	0.7073844702867774	0.4344274491243881	0.6182952115930475	0.9707861452284273	0.6877826205421901	0.7165579076379666	0	0	1.0	0.573789801031073	0.42621019896892703	0.5314354435626039
14	5000	0.00021325711392183866	0.12222510446072421	0.21336921780489193	0.3424722092023319	0.7924194780051431	0.30225721798202854	0.7610924952573983	0.46996305424326335	0	0	1.0	0.21149985111755554	0.7885001488824445	0.35213024649242264
15	5000	0.38926047081794235	0.2033067905118099	0.8072571179211343	0.47036128448901826	0.5406046304956513	0.07150794686498729	0.28964220985604505	0.03628695069575172	0	0	1.0	0.017991096810537236	0.9820089031894628	0.12909083187843323
16	5000	0.8431494516936942	0.9907908627427876	0.4660478259863148	0.19890365870369725	0.5022794807738844	0.6023237692785463	0.507818163632202	0.30382299170349425	0	0	1.0	0.5049702279772792	0.49502977202272086	0.43158071533127257
17	5000	0.326621048907768	0.11027424574801725	0.7992131237586797	0.0005348161205446234	0.13286686135095416	0.35278673282133677	0.671131795826543	0.7241877344577061	0	0	0.999999998068563	0.47137061195859276	0.5286293861099702	0.7982321943784163
18	5000	0.09142048458083007	0.36254530127413653	0.9331737960748778	0.41888921275550367	0.4903079796610822	0.5561535760463164	0.9544786345707409	0.8778424065995177	0	0	1.0	0.4044045987944401	0.59559540120556	0.6077628367479391
19	5000	0.244145493004171	0.5495922593701617	0.7562279213537519	0.11690939349341456	0.4176583325043368	0.4812059008687346	0.10293253839046579	0.5930476155277837	0	0	0.999999999999879	0.8419272153798116	0.15807278462006752	0.5722120342715089
20	5000	0.23914757781045937	0.027970456827443146	0.06206970327702033	0.1386349476471656	0.3452819030582026	0.7503357730909814	0.16997662241996925	0.8527568347891562	0	0	0.9999999999998448	0.8329074270791375	0.1670925729207075	0.6885915044181609
21	5000	0.01763431479466837	0.79354334292063	0.09144326087723387	0.2555850116624891	0.9644355129499895	0.32537970798136484	0.7107460233279174	0.3949472444558939	0	0	0.9999999449480315	0.5756121268184512	0.4243878181295802	0.1665551292603255
22	5000	0.8132572982333292	0.7825898247698323	0.8416415380860237	0.4702198647690999	0.225070815978632	0.24500177428276715	0.13940696530254826	0.21542010083445817	0	0	1.0	0.6085059577314155	0.39149404226858453	0.5194266199503917
23	5000	0.6808466364457002	0.2651555727808175	0.1309851183873818	0.3562622271905047	0.511612747152861	0.625631517530051	0.7708620725927074	0.32380958885010025	0	0	1.0	0.4114367080643814	0.5885632919356185	0.4597914662594723
24	5000	0.5987861779440649	0.5626120678684007	0.04524905008058455	0.31441275950566144	0.18733556149223574	0.9963870928830894	0.20214036346871223	0.7989609154198519	0	0	1.0	0.9781159423785286	0.021884057621471244	0.09123214041309056
25	5000	0.7013952902069531	0.1927180559799544	0.28308955360118626	0.3721180021837935	0.2917743271009575	0.7041496646911475	0.8328230890882733	0.6599558653288203	0	0	1.0	0.4852562324332739	0.514743767566726	0.6526261091012119
26	5000	0.779311222102436	0.7029560525655615	0.8334410530178196	0.41833466911069606	0.7362279580718648	0.14893673699570542	0.9389806906831543	0.7885028988787374	0	0	1.0	0.20663430866399995	0.7933656913360001	0.245583993999835
27	5000	0.5072224002419495	0.014573791630343114	0.1758007682992353	0.268240815783795	0.34239180297740734	0.5170570705754343	0.6961982490032453	0.41120926686706216	0	0	1.0	0.27770355068661645	0.7222964493133837	0.6911533040361719
28	5000	0.7328021308135347	0.9768631359256381	0.21852135451860233	0.23524293924823136	0.5909907261085756	0.980341948881889	0.48551686820650697	0.6972789385805853	0	0	0.9999999999999998	0.8305539392433461	0.16944606075665378	0.25754658875988645
29	5000	0.6741008964570141	0.44807561356698233	0.9280077794023935	0.317907178129535	0.9074862081471349	0.26191797339018374	0.23578847336801478	0.8550258698032656	0	0	1.0	0.5463623737153755	0.45363762628462445	0.47005164923921927
30	5000	0.7187911887835231	0.5738131909200326	0.11931718142928427	0.13334994804923567	0.4532142840136888	0.46785596770656634	0.9536010397372771	0.1484933602632268	0	0	1.0	0.3147709897994629	0.6852290102005371	0.4022277897451376
31	5000	0.26436053901036727	0.11458149695902597	0.771356070546611	0.4610768643297835	0.7339747515052902	0.4551707250061868	0.3857691027600547	0.6549299648315402	0	0	1.0	0.42736840747274146	0.5726315925272586	0.5913058798444123
32	5000	0.1453649337659112	0.3487206953156099	0.8926627963041163	0.06909912489088194	0.37976516079588496	0.49102807380711255	0.30173444685779083	0.7610298314661896	0	0	0.9999992876321802	0.6640956610370858	0.33590362659509426	0.6669378619408601
33	5000	0.7569948972490756	0.643464749269364	0.019408091335150757	0.29697637944360594	0.9432877908919244	0.22481298045437514	0.5708627300164846	0.40459332424338434	0	0	1.0000000000000002	0.8235103255517533	0.17648967444824676	0.05806700784461521
34	5000	0.01731590526866189	0.8852528989846115	0.5530172856191609	0.37993310609831393	0.5680314690187235	0.29314001905313314	0.18754783079952686	0.5967383216331267	0	0	0.99999991935395	0.7380617571477227	0.26193816220622734	0.37308703740361027
35	5000	0.6952616236762943	0.7618624042239196	0.06488752207493864	0.35951244516145997	0.9337742471108224	0.5207621549756069	0.5968685041551746	0.5179189552928662	0	0	1.0	0.7983254628316252	0.20167453716837486	0.13485816882368312
